Accession	Female_Parent	Male_Parent	Cross_Type
TMS19F1086P0014	TMS14F1284P0001	TMS13F1343P0044	biparental
TMS19F1086P0030	TMS14F1284P0001	TMS13F1343P0044	biparental
TMS19F1087P0045	TMS14F1284P0001	TMS13F1364P0001	biparental
TMS19F1090P0030	TMS14F1288P0001	TMS14F1255P0005	biparental
TMS19F1091P0065	TMS14F1310P0004	TMS14F1035P0004	biparental
TMS19F1110P0029	TMS15F1142P0008	Starch_65	biparental
TMS19F1142P0003	TMS15F1370P0004	Starch_65	biparental
TMS19F1142P0014	TMS15F1370P0004	Starch_65	biparental
TMS19F1143P0036	TMS15F1370P0004	Starch_85	biparental
TMS19F1147P0030	TMS15F1370P0004	TMS15F1301P0002	biparental
TMS19F1183P0037	IITA-TMS-IBA011797	Starch_47	biparental
TMS19F1196P0001	TMEB813	IITA-TMS-IBA011797	biparental
TMS19F1198P0059	TMEB1381	IITA-TMS-IBA011797	biparental
TMS19F1205P0062	TMS13F1172P0001	TMEB412	biparental
TMS19F1218P0011	TMS13F2176P0035	2064_MP1	biparental
TMS19F1218P0020	TMS13F2176P0035	2064_MP1	biparental
TMS19F1226P0213	TMS15F1172P0001	Starch_47	biparental
TMS19F1240P0143	UCC20001279	IITA-TMS-IBA011797	biparental
TMS19F1267P0009	IITA-TMS-IBA141092	TMS14F1313P0139	biparental
TMS19F1271P0016	IITA-TMS-IBA160008	Starch_47	biparental
TMS19F1271P0027	IITA-TMS-IBA160008	Starch_47	biparental
TMS19F1285P0009	IITA-TMS-IKN130010	IITA-TMS-IBA141092	biparental
TMS19F1286P0006	IITA-TMS-IKN130010	TMS14F1313P0076	biparental
TMS19F1286P0065	IITA-TMS-IKN130010	TMS14F1313P0076	biparental
TMS19F1286P0075	IITA-TMS-IKN130010	TMS14F1313P0076	biparental
TMS19F1292P0003	TMS13F1475P0257	Starch_47	biparental
TMS19F1293P0011	TMS13F1475P0257	IITA-TMS-IBA120004	biparental
TMS19F1293P0037	TMS13F1475P0257	IITA-TMS-IBA120004	biparental
TMS19F1293P0042	TMS13F1475P0257	IITA-TMS-IBA120004	biparental
TMS19F1293P0082	TMS13F1475P0257	IITA-TMS-IBA120004	biparental
TMS19F1295P0033	TMS13F1475P0257	IITA-TMS-IKN130010	biparental
TMS19F1300P0036	TMS13F1475P0265	TMS14F1319P0004	biparental
TMS19F1301P0001	TMS14F1075P0005	IITA-TMS-IBA120004	biparental
TMS19F1301P0020	TMS14F1075P0005	IITA-TMS-IBA120004	biparental
TMS19F1304P0001	TMS14F1075P0005	TMS14F1319P0004	biparental
TMS19F1304P0044	TMS14F1075P0005	TMS14F1319P0004	biparental
TMS19F1304P0114	TMS14F1075P0005	TMS14F1319P0004	biparental
TMS19F1315P0070	TMS14F1313P0074	IITA-TMS-IBA120004	biparental
TMS19F1316P0116	TMS14F1313P0074	IITA-TMS-IBA141092	biparental
TMS19F1329P0008	TMS14F1313P0146	Starch_47	biparental
TMS19F1329P0025	TMS14F1313P0146	Starch_47	biparental
TMS19F1329P0033	TMS14F1313P0146	Starch_47	biparental
TMS19F1331P0004	TMS14F1313P0146	IITA-TMS-IBA141092	biparental
TMS19F1338P0038	TMS14F1313P0166	TMS14F1319P0004	biparental
TMS19F1350P0007	TMS15F1021P0013	IITA-TMS-IBA930007	biparental
TMS19F1351P0040	TMS15F1021P0013	IITA-TMS-IBA972205	biparental
TMS19F1351P0042	TMS15F1021P0013	IITA-TMS-IBA972205	biparental
TMS19F1360P0008	TMS15F1130P0012	IITA-TMS-IBA930007	biparental
TMS19F1361P0001	TMS15F1130P0012	IITA-TMS-IBA972205	biparental
TMS19F1365P0061	TMS15F1142P0012	IITA-TMS-IBA930007	biparental
TMS19F1366P0016	TMS15F1142P0012	IITA-TMS-IBA972205	biparental
TMS19F1375P0045	TMS15F1329P0005	IITA-TMS-IBA972205	biparental
TMS19F1379P0032	TMS15F1427P0001	IITA-TMS-IKN130010	biparental
TMS19F1384P0056	TMS15F1457P0020	IITA-TMS-IKN130010	biparental
TMS19F1385P0007	TMS15F1477P0016	Starch_47	biparental
TMS19F1386P0058	TMS15F1477P0016	IITA-TMS-IBA120004	biparental
TMS19F1388P0043	TMS15F1477P0016	IITA-TMS-IKN130010	biparental
TMS19F1410P0014	TMS17F2024P0007	TMS17F2023P0001	biparental
TMS19F1414P0076	TMS17F2028P0001	IITA-TMS-IBA930007	biparental
TMS19F1421P0005	IITA-TMS-IBA930007	TMS15F1329P0005	biparental
TMS19F1422P0002	TMS13F1307P0010	TMS13F1343P0044	biparental
TMS19F1423P0003	TMS13F1475P0257	Starch_27	biparental
TMS19F1437P0004	IITA-TMS-IBA141092	IITA-TMS-IBA141092	self
TMS19F1437P0047	IITA-TMS-IBA141092	IITA-TMS-IBA141092	self
TMS19F1437P0065	IITA-TMS-IBA141092	IITA-TMS-IBA141092	self
TMS19F1439P0025	IITA-TMS-IBA30572	IITA-TMS-IBA30572	self
TMS19F1440P0022	IITA-TMS-IBA961089A	IITA-TMS-IBA961089A	self
TMS19F1440P0074	IITA-TMS-IBA961089A	IITA-TMS-IBA961089A	self
TMS19F1466P0016	TMS13F1333P0003	TMS13F1333P0003	self
TMS19F1503P0016	TMS14F1313P0146		open
UKG41-9			
